date,usdprice
1/15/2013,1.3143
2/15/2013,1.15
3/15/2013,1.3143
7/15/2013,1.2322
8/15/2013,1.15
9/15/2013,1.2322
10/15/2013,0.9857
1/15/2014,1.15
4/15/2014,0.9857
5/15/2014,1.0679
6/15/2014,1.0405
7/15/2014,0.9857
8/15/2014,1.0405
9/15/2014,1.0953
10/15/2014,0.9857
11/15/2014,1.0186
12/15/2014,1.0405
4/15/2015,0.6572
5/15/2015,1.15
6/15/2015,1.15
7/15/2015,1.15
8/15/2015,1.0405
10/15/2015,1.15
12/15/2015,1.15
4/15/2016,1.15
5/15/2016,1.15
8/15/2016,1.15
10/15/2016,0.9857
11/15/2016,0.9857
1/15/2017,1.8072
2/15/2017,1.4786
3/15/2017,1.3965
4/15/2017,1.3965
5/15/2017,1.2598
6/15/2017,1.2598
7/15/2017,1.269
8/15/2017,1.2598
9/15/2017,1.2598
10/15/2017,1.3965
11/15/2017,1.3965
12/15/2017,1.2598
1/15/2018,1.2867
2/15/2018,1.2867
3/15/2018,1.3143
4/15/2018,1.2736
5/15/2018,1.2322
6/15/2018,1.2197
7/15/2018,1.2598
8/15/2018,1.2598
9/15/2018,1.3965
10/15/2018,1.2598
11/15/2018,1.2598
12/15/2018,1.2598
1/15/2019,1.2598
2/15/2019,1.2263
3/15/2019,1.2598
4/15/2019,1.6429
5/15/2019,1.2841
6/15/2019,1.2598
7/15/2019,1.2867
8/15/2019,1.2867
9/15/2019,1.3965
10/15/2019,1.4786
11/15/2019,1.4241
12/15/2019,1.5529
1/15/2020,1.6974
2/15/2020,1.5502
3/15/2020,1.6324
4/15/2020,1.8795
5/15/2020,2.7062
6/15/2020,2.7712
7/15/2020,4.1769
8/15/2020,4.1986
9/15/2020,4.056
10/15/2020,3.406
11/15/2020,3.7136
12/15/2020,3.7274
1/15/2021,4.4394
2/15/2021,4.2989
3/15/2021,5.3152
4/15/2021,7.222
5/15/2021,5.6381
6/15/2021,4.5952
7/15/2021,7.5264
8/15/2021,9.0214
9/15/2021,9.1226
10/15/2021,9.9579
11/15/2021,7.8753
12/15/2021,7.5573
