date,usdprice
1/15/2013,1.2623
2/15/2013,1.2741
3/15/2013,1.261
4/15/2013,1.4701
5/15/2013,1.1665
6/15/2013,1.104
7/15/2013,1.2815
8/15/2013,1.196
10/15/2013,1.15
11/15/2013,1.2595
12/15/2013,1.2595
1/15/2014,1.3143
2/15/2014,1.3143
4/15/2014,1.3732
5/15/2014,1.4786
7/15/2014,1.4485
8/15/2014,1.6429
10/15/2014,1.4505
11/15/2014,1.4786
12/15/2014,1.15
1/15/2015,1.1829
2/15/2015,1.38
3/15/2015,1.2979
4/15/2015,1.1117
5/15/2015,1.161
6/15/2015,1.2617
7/15/2015,1.15
8/15/2015,1.2157
9/15/2015,1.2861
10/15/2015,1.2815
11/15/2015,1.38
12/15/2015,1.38
1/15/2016,1.1172
2/15/2016,1.0734
3/15/2016,1.3636
4/15/2016,1.1434
5/15/2016,1.1007
6/15/2016,1.1582
7/15/2016,1.1369
8/15/2016,1.1281
9/15/2016,1.1911
10/15/2016,1.0514
12/15/2016,1.0734
1/15/2017,1.315
2/15/2017,1.2203
3/15/2017,1.1776
4/15/2017,1.2157
5/15/2017,1.2322
6/15/2017,1.8243
7/15/2017,1.2644
8/15/2017,1.1868
9/15/2017,1.2223
10/15/2017,1.1954
11/15/2017,1.1967
12/15/2017,1.2315
1/15/2018,1.2322
2/15/2018,1.2322
3/15/2018,1.2322
4/15/2018,1.2098
5/15/2018,1.3084
6/15/2018,1.3728
7/15/2018,1.3018
8/15/2018,1.3689
9/15/2018,1.1093
10/15/2018,1.3307
11/15/2018,1.1007
12/15/2018,1.1691
1/15/2019,1.1967
2/15/2019,1.1678
3/15/2019,1.15
4/15/2019,1.5607
5/15/2019,1.1868
6/15/2019,1.1684
7/15/2019,1.1868
8/15/2019,1.2046
9/15/2019,1.1704
10/15/2019,1.2072
11/15/2019,1.2953
12/15/2019,1.5929
1/15/2020,1.5502
2/15/2020,1.4957
3/15/2020,1.6041
4/15/2020,1.8361
5/15/2020,2.346
6/15/2020,2.4564
7/15/2020,2.5103
8/15/2020,2.5018
9/15/2020,2.4058
10/15/2020,2.536
11/15/2020,2.741
12/15/2020,2.7108
1/15/2021,3.987
2/15/2021,3.8233
3/15/2021,5.0264
4/15/2021,5.1325
5/15/2021,4.9937
6/15/2021,7.0754
7/15/2021,9.2928
8/15/2021,10.4439
9/15/2021,9.4475
10/15/2021,10.0705
11/15/2021,11.5425
12/15/2021,13.4676
