date,usdprice
1/15/2013,1.1563
2/15/2013,1.1572
3/15/2013,1.104
4/15/2013,1.1198
5/15/2013,0.7804
6/15/2013,1.0864
9/15/2013,0.9036
10/15/2013,0.931
11/15/2013,1.0268
12/15/2013,0.9857
1/15/2014,1.0405
2/15/2014,1.013
4/15/2014,0.8178
5/15/2014,1.0186
6/15/2014,0.8105
7/15/2014,0.9857
8/15/2014,0.9623
10/15/2014,0.9748
11/15/2014,0.8862
2/15/2015,0.8565
5/15/2015,0.8299
6/15/2015,0.6024
7/15/2015,0.7426
8/15/2015,0.7064
9/15/2015,0.6572
10/15/2015,0.5257
11/15/2015,0.5257
12/15/2015,0.5914
1/15/2016,0.6791
2/15/2016,0.7229
3/15/2016,0.7229
4/15/2016,0.6079
5/15/2016,0.6936
6/15/2016,0.7393
7/15/2016,0.7338
8/15/2016,0.7886
9/15/2016,0.8214
10/15/2016,0.8214
12/15/2016,0.8761
1/15/2017,0.9844
2/15/2017,0.9654
3/15/2017,0.9844
4/15/2017,0.9857
5/15/2017,0.9134
6/15/2017,0.943
7/15/2017,0.9075
8/15/2017,0.9417
9/15/2017,0.9194
10/15/2017,0.945
11/15/2017,0.8655
12/15/2017,0.9226
1/15/2018,0.9437
2/15/2018,0.9095
3/15/2018,0.9088
4/15/2018,0.895
5/15/2018,0.92
6/15/2018,0.8701
7/15/2018,0.8076
8/15/2018,0.7958
9/15/2018,0.8103
10/15/2018,0.8957
11/15/2018,0.7807
12/15/2018,0.9029
1/15/2019,0.7735
2/15/2019,0.7722
3/15/2019,0.7906
4/15/2019,0.7669
5/15/2019,0.7597
6/15/2019,0.7702
7/15/2019,0.7446
8/15/2019,0.7531
9/15/2019,0.8011
10/15/2019,0.8149
11/15/2019,0.9036
12/15/2019,1.0554
1/15/2020,1.1244
2/15/2020,1.104
3/15/2020,1.2282
4/15/2020,1.5502
5/15/2020,1.8151
6/15/2020,1.9918
7/15/2020,1.6429
8/15/2020,2.2133
9/15/2020,2.5057
10/15/2020,2.5892
11/15/2020,2.5399
12/15/2020,2.3888
1/15/2021,2.2571
2/15/2021,3.018
3/15/2021,3.0101
4/15/2021,20.7221
5/15/2021,5.2572
6/15/2021,6.5707
7/15/2021,8.6712
8/15/2021,8.9485
9/15/2021,8.6652
10/15/2021,9.2106
11/15/2021,10.4903
12/15/2021,12.7156
